StudentID,CourseID
202,2
202,3
202,4
202,5
202,6
202,7
202,8
202,9
202,10
202,11
203,2
203,3
203,4
203,5
203,6
203,7
203,8
203,9
203,10
203,11
204,2
204,3
204,4
204,5
204,6
204,7
204,8
204,9
204,10
204,11
205,2
205,3
205,4
205,5
205,6
205,7
205,8
205,9
205,10
205,11
206,12
206,13
206,14
206,15
206,16
206,17
206,18
206,19
206,20
206,21
206,22
206,23
207,12
207,13
207,14
207,15
207,16
207,17
207,18
207,19
207,20
207,21
207,22
207,23
208,12
208,13
208,14
208,15
208,16
208,17
208,18
208,19
208,20
208,21
208,22
208,23
209,12
209,13
209,14
209,15
209,16
209,17
209,18
209,19
209,20
209,21
209,22
209,23
210,12
210,13
210,14
210,15
210,16
210,17
210,18
210,19
210,20
210,21
210,22
210,23
211,24
211,25
211,26
211,27
211,28
211,29
211,30
211,31
211,32
211,33
212,24
212,25
212,26
212,27
212,28
212,29
212,30
212,31
212,32
212,33
213,24
213,25
213,26
213,27
213,28
213,29
213,30
213,31
213,32
213,33
214,24
214,25
214,26
214,27
214,28
214,29
214,30
214,31
214,32
214,33
215,24
215,25
215,26
215,27
215,28
215,29
215,30
215,31
215,32
215,33
216,34
216,35
216,36
216,37
216,38
216,39
216,40
216,41
216,42
216,43
217,34
217,35
217,36
217,37
217,38
217,39
217,40
217,41
217,42
217,43
218,34
218,35
218,36
218,37
218,38
218,39
218,40
218,41
218,42
218,43
219,34
219,35
219,36
219,37
219,38
219,39
219,40
219,41
219,42
219,43
220,34
220,35
220,36
220,37
220,38
220,39
220,40
220,41
220,42
220,43
221,44
221,45
221,46
221,47
221,48
221,49
221,50
221,51
221,52
221,53
221,54
221,55
221,56
221,57
221,58
221,59
221,60
221,61
221,62
221,63
221,64
222,44
222,45
222,46
222,47
222,48
222,49
222,50
222,51
222,52
222,53
222,54
222,55
222,56
222,57
222,58
222,59
222,60
222,61
222,62
222,63
222,64
223,44
223,45
223,46
223,47
223,48
223,49
223,50
223,51
223,52
223,53
223,54
223,55
223,56
223,57
223,58
223,59
223,60
223,61
223,62
223,63
223,64
224,44
224,45
224,46
224,47
224,48
224,49
224,50
224,51
224,52
224,53
224,54
224,55
224,56
224,57
224,58
224,59
224,60
224,61
224,62
224,63
224,64
225,44
225,45
225,46
225,47
225,48
225,49
225,50
225,51
225,52
225,53
225,54
225,55
225,56
225,57
225,58
225,59
225,60
225,61
225,62
225,63
225,64
226,65
226,66
226,67
226,68
226,69
226,70
226,71
226,72
226,73
226,74
226,75
226,76
226,77
226,78
226,79
226,80
226,81
226,82
226,83
226,84
226,85
226,86
226,87
226,88
226,89
227,65
227,66
227,67
227,68
227,69
227,70
227,71
227,72
227,73
227,74
227,75
227,76
227,77
227,78
227,79
227,80
227,81
227,82
227,83
227,84
227,85
227,86
227,87
227,88
227,89
228,65
228,66
228,67
228,68
228,69
228,70
228,71
228,72
228,73
228,74
228,75
228,76
228,77
228,78
228,79
228,80
228,81
228,82
228,83
228,84
228,85
228,86
228,87
228,88
228,89
229,65
229,66
229,67
229,68
229,69
229,70
229,71
229,72
229,73
229,74
229,75
229,76
229,77
229,78
229,79
229,80
229,81
229,82
229,83
229,84
229,85
229,86
229,87
229,88
229,89
230,65
230,66
230,67
230,68
230,69
230,70
230,71
230,72
230,73
230,74
230,75
230,76
230,77
230,78
230,79
230,80
230,81
230,82
230,83
230,84
230,85
230,86
230,87
230,88
230,89
231,90
231,91
231,92
231,93
231,94
231,95
231,96
231,97
231,98
231,99
231,100
231,101
231,102
231,103
231,104
231,105
231,106
231,107
231,108
231,109
231,110
231,111
231,112
232,90
232,91
232,92
232,93
232,94
232,95
232,96
232,97
232,98
232,99
232,100
232,101
232,102
232,103
232,104
232,105
232,106
232,107
232,108
232,109
232,110
232,111
232,112
233,90
233,91
233,92
233,93
233,94
233,95
233,96
233,97
233,98
233,99
233,100
233,101
233,102
233,103
233,104
233,105
233,106
233,107
233,108
233,109
233,110
233,111
233,112
234,90
234,91
234,92
234,93
234,94
234,95
234,96
234,97
234,98
234,99
234,100
234,101
234,102
234,103
234,104
234,105
234,106
234,107
234,108
234,109
234,110
234,111
234,112
235,90
235,91
235,92
235,93
235,94
235,95
235,96
235,97
235,98
235,99
235,100
235,101
235,102
235,103
235,104
235,105
235,106
235,107
235,108
235,109
235,110
235,111
235,112
236,113
236,114
236,115
236,116
236,117
236,118
236,119
236,120
236,121
236,122
236,123
236,124
236,125
236,126
236,127
236,128
236,129
236,130
237,113
237,114
237,115
237,116
237,117
237,118
237,119
237,120
237,121
237,122
237,123
237,124
237,125
237,126
237,127
237,128
237,129
237,130
238,113
238,114
238,115
238,116
238,117
238,118
238,119
238,120
238,121
238,122
238,123
238,124
238,125
238,126
238,127
238,128
238,129
238,130
239,113
239,114
239,115
239,116
239,117
239,118
239,119
239,120
239,121
239,122
239,123
239,124
239,125
239,126
239,127
239,128
239,129
239,130
